"year","sex","institution_level","num","percent"
1960,"Female","2-year",,
1960,"Male","2-year",,
1960,"Total","2-year",,
1960,"Female","4-year",,
1960,"Male","4-year",,
1960,"Total","4-year",,
1960,"Female","Total",37.919826652221,2.84572966191475
1960,"Male","Total",53.968253968254,3.23014389360188
1960,"Total","Total",45.1459201905896,2.1640796082581
1961,"Female","2-year",,
1961,"Male","2-year",,
1961,"Total","2-year",,
1961,"Female","4-year",,
1961,"Male","4-year",,
1961,"Total","4-year",,
1961,"Female","Total",41.3155190133607,2.81285068676053
1961,"Male","Total",56.3291139240506,3.14437094900609
1961,"Total","Total",48.0431083380601,2.12029277081753
1962,"Female","2-year",,
1962,"Male","2-year",,
1962,"Total","2-year",,
1962,"Female","4-year",,
1962,"Male","4-year",,
1962,"Total","4-year",,
1962,"Female","Total",43.4782608695652,2.84210511343455
1962,"Male","Total",55.045871559633,3.00174491677798
1962,"Total","Total",48.9662676822633,2.07773077438944
1963,"Female","2-year",,
1963,"Male","2-year",,
1963,"Total","2-year",,
1963,"Female","4-year",,
1963,"Male","4-year",,
1963,"Total","4-year",,
1963,"Female","Total",38.9651531151003,2.82381988953094
1963,"Male","Total",52.2670025188917,3.15862274786761
1963,"Total","Total",45.0315910396324,2.12471509144703
1964,"Female","2-year",,
1964,"Male","2-year",,
1964,"Total","2-year",,
1964,"Female","4-year",,
1964,"Male","4-year",,
1964,"Total","4-year",,
1964,"Female","Total",40.6794425087108,2.58347357188568
1964,"Male","Total",57.1715145436309,2.79250196214984
1964,"Total","Total",48.3449883449883,1.92266301732513
1965,"Female","2-year",,
1965,"Male","2-year",,
1965,"Total","2-year",,
1965,"Female","4-year",,
1965,"Male","4-year",,
1965,"Total","4-year",,
1965,"Female","Total",45.2669039145907,2.36625802811951
1965,"Male","Total",57.2567783094099,2.48933400242605
1965,"Total","Total",50.9213990221888,1.72751545361956
1966,"Female","2-year",,
1966,"Male","2-year",,
1966,"Total","2-year",,
1966,"Female","4-year",,
1966,"Male","4-year",,
1966,"Total","4-year",,
1966,"Female","Total",42.7046263345196,2.35149434179843
1966,"Male","Total",58.7406793703397,2.52500209557358
1966,"Total","Total",50.114854517611,1.74327993417615
1967,"Female","2-year",,
1967,"Male","2-year",,
1967,"Total","2-year",,
1967,"Female","4-year",,
1967,"Male","4-year",,
1967,"Total","4-year",,
1967,"Female","Total",47.2161966738973,1.9498179881946
1967,"Male","Total",57.6182136602452,2.12395736099403
1967,"Total","Total",51.9207920792079,1.44420198536046
1968,"Female","2-year",,
1968,"Male","2-year",,
1968,"Total","2-year",,
1968,"Female","4-year",,
1968,"Male","4-year",,
1968,"Total","4-year",,
1968,"Female","Total",48.9451476793249,1.92545271488634
1968,"Male","Total",63.1756756756757,2.03599080427841
1968,"Total","Total",55.4105909439754,1.41427663239356
1969,"Female","2-year",,
1969,"Male","2-year",,
1969,"Total","2-year",,
1969,"Female","4-year",,
1969,"Male","4-year",,
1969,"Total","4-year",,
1969,"Female","Total",47.248322147651,1.87857060375756
1969,"Male","Total",60.0591715976331,1.93472471376977
1969,"Total","Total",53.3427163969036,1.35923507968188
1970,"Female","2-year",,
1970,"Male","2-year",,
1970,"Total","2-year",,
1970,"Female","4-year",,
1970,"Male","4-year",,
1970,"Total","4-year",,
1970,"Female","Total",48.512225322489,1.92983063865538
1970,"Male","Total",55.1581272584821,1.9713505904809
1970,"Total","Total",51.7481563999466,1.38211539342308
1971,"Female","2-year",,
1971,"Male","2-year",,
1971,"Total","2-year",,
1971,"Female","4-year",,
1971,"Male","4-year",,
1971,"Total","4-year",,
1971,"Female","Total",49.7716934448391,1.87268815594077
1971,"Male","Total",57.6202223619502,1.93852043995651
1971,"Total","Total",53.5144323969143,1.35113502063096
1972,"Female","2-year",,
1972,"Male","2-year",,
1972,"Total","2-year",,
1972,"Female","4-year",,
1972,"Male","4-year",,
1972,"Total","4-year",,
1972,"Female","Total",45.97887843326,1.84364727590677
1972,"Male","Total",52.7389903329753,1.92260562175916
1972,"Total","Total",49.2231164068733,1.33374267210494
1973,"Female","2-year",15.2020360282937,1.30423538655279
1973,"Male","2-year",14.6247084841725,1.34338445442285
1973,"Total","2-year",14.9265092232535,0.935917681583078
1973,"Female","4-year",28.2015437838027,1.63458075997492
1973,"Male","4-year",35.4149595920012,1.81823474563589
1973,"Total","4-year",31.644111926095,1.22150660490082
1973,"Female","Total",43.4035798120965,1.80040265426112
1973,"Male","Total",50.0396680761737,1.90090528097138
1973,"Total","Total",46.5705732255824,1.31010883934796
1974,"Female","2-year",13.9173375981563,1.2526751393272
1974,"Male","2-year",16.5746875662505,1.39896474432283
1974,"Total","2-year",15.1945407854634,0.936260040586613
1974,"Female","4-year",31.9951747567511,1.68816401988093
1974,"Male","4-year",32.7768295857385,1.76594893316273
1974,"Total","4-year",32.370861832576,1.22035125197383
1974,"Female","Total",45.9125123549074,1.80350132485873
1974,"Male","Total",49.3515171519889,1.88091274020831
1974,"Total","Total",47.5653872805605,1.30255261275961
1975,"Female","2-year",17.386118525023,1.34631700508432
1975,"Male","2-year",19.0149693929553,1.46540027026091
1975,"Total","2-year",18.1599092401754,0.992240752247639
1975,"Female","4-year",31.5729562825775,1.65116704657929
1975,"Male","4-year",33.6300728342566,1.76423182106993
1975,"Total","4-year",32.5501959544304,1.20599170811813
1975,"Female","Total",48.9590748076005,1.77580538997526
1975,"Male","Total",52.645042227212,1.86452213121219
1975,"Total","Total",50.7101051946058,1.28677724783724
1976,"Female","2-year",16.5669254207305,1.37816726841469
1976,"Male","2-year",14.4940252389456,1.34242599667452
1976,"Total","2-year",15.5597876737307,0.963450373731156
1976,"Female","4-year",33.7596544271956,1.75296053800801
1976,"Male","4-year",32.7434964121107,1.78948179860692
1976,"Total","4-year",33.265944646618,1.25235238414892
1976,"Female","Total",50.3265798479261,1.8534146386014
1976,"Male","Total",47.2375216510563,1.90372302051043
1976,"Total","Total",48.8257494574973,1.32862674344371
1977,"Female","2-year",17.7765691955847,1.36355348178538
1977,"Male","2-year",17.1537167004482,1.42206052826486
1977,"Total","2-year",17.4825871660458,0.984341716270806
1977,"Female","4-year",31.4743543749235,1.65636249805224
1977,"Male","4-year",34.9656844725189,1.79884918826996
1977,"Total","4-year",33.1222378078326,1.21975031790695
1977,"Female","Total",49.2509838656287,1.78308347322643
1977,"Male","Total",52.1194011729671,1.88443840168385
1977,"Total","Total",50.6048568101229,1.29571194560816
1978,"Female","2-year",18.2833009004884,1.3708347534202
1978,"Male","2-year",15.5516896165651,1.36578108799713
1978,"Total","2-year",17.0004006135363,0.970177951219085
1978,"Female","4-year",30.9992416437729,1.64023041884157
1978,"Male","4-year",35.5227803522029,1.80365491055436
1978,"Total","4-year",33.12372002078,1.21559647122678
1978,"Female","Total",49.2825425442613,1.77307736089086
1978,"Male","Total",51.074469968768,1.8839376532054
1978,"Total","Total",50.124136483099,1.29137554845936
1979,"Female","2-year",18.0636398913465,1.36114441558614
1979,"Male","2-year",16.9063162506426,1.41772948840649
1979,"Total","2-year",17.5235895631215,0.982315481686523
1979,"Female","4-year",30.319670954183,1.62622478966305
1979,"Male","4-year",33.5265043261712,1.78567849201559
1979,"Total","4-year",31.8160988799546,1.20348023877947
1979,"Female","Total",48.3832515109549,1.76809699454049
1979,"Male","Total",50.4328205768138,1.89120498562339
1979,"Total","Total",49.3396411817817,1.29183376697254
1980,"Female","2-year",21.5757979978481,1.49870527055187
1980,"Male","2-year",17.0679410280845,1.41167985449522
1980,"Total","2-year",19.3881595949952,1.03336760550941
1980,"Female","4-year",30.1860579252371,1.6725612391322
1980,"Male","4-year",29.6600679623831,1.71384471455148
1980,"Total","4-year",29.9307978648641,1.19704331296028
1980,"Female","Total",51.7618559230852,1.82057243025061
1980,"Male","Total",46.7280089904676,1.87207191961606
1980,"Total","Total",49.3189250739855,1.30682321754736
1981,"Female","2-year",20.0950847327659,1.47127860707247
1981,"Male","2-year",20.8651718626655,1.52850621392618
1981,"Total","2-year",20.4708127570636,1.06015671998005
1981,"Female","4-year",33.0312092630933,1.72687823890554
1981,"Male","4-year",33.9261844670678,1.78096176815196
1981,"Total","4-year",33.4678705863758,1.23984960446315
1981,"Female","Total",53.1262939958592,1.83224125775158
1981,"Male","Total",54.7913563297332,1.87214360279818
1981,"Total","Total",53.9387009940751,1.30965727263283
1982,"Female","2-year",20.6073974854179,1.55929208211109
1982,"Male","2-year",17.4893221592702,1.50414162418449
1982,"Total","2-year",19.0900681458698,1.08554653859453
1982,"Female","4-year",31.4241089266911,1.78954694572352
1982,"Male","4-year",31.5950745394146,1.84077430091772
1982,"Total","4-year",31.5073048450398,1.28313261821804
1982,"Female","Total",52.0314435852523,1.92591511853424
1982,"Male","Total",49.0843304178608,1.9794490539358
1982,"Total","Total",50.5973084832706,1.38096541644542
1983,"Female","2-year",18.3620541701892,1.50130624815978
1983,"Male","2-year",20.1976590956362,1.65648708960775
1983,"Total","2-year",19.2229397097804,1.11343980785272
1983,"Female","4-year",35.0837470362766,1.85051382120502
1983,"Male","4-year",31.7254939498209,1.92027399553647
1983,"Total","4-year",33.5087504341548,1.33374923758432
1983,"Female","Total",53.4457376413529,1.93418890737735
1983,"Male","Total",51.9231530454571,2.06147578778892
1983,"Total","Total",52.7316901439352,1.41069687068133
1984,"Female","2-year",20.9797694741781,1.57362186434413
1984,"Male","2-year",17.6716975373885,1.55204609227005
1984,"Total","2-year",19.4108177859489,1.10832850538503
1984,"Female","4-year",33.470763079243,1.82376953590511
1984,"Male","4-year",38.3693371206023,1.97870689467883
1984,"Total","4-year",35.7940577835188,1.34338746480258
1984,"Female","Total",54.4505325534211,1.92474675797078
1984,"Male","Total",56.0409646616447,2.01961123225884
1984,"Total","Total",55.2048606984432,1.39351737908947
1985,"Female","2-year",19.3400112650279,1.6344513314028
1985,"Male","2-year",19.859284488974,1.710209844364
1985,"Total","2-year",19.5904889892902,1.18169101729559
1985,"Female","4-year",37.5038551589629,2.00345283973891
1985,"Male","4-year",38.7681643587002,2.0886576172166
1985,"Total","4-year",38.1137100032154,1.44599044158645
1985,"Female","Total",56.8438664239907,2.04964016429529
1985,"Male","Total",58.6274488476742,2.11128880367474
1985,"Total","Total",57.7041989925056,1.47088907071606
1986,"Female","2-year",17.3213538915302,1.52645811770171
1986,"Male","2-year",21.3367549422754,1.72648622093083
1986,"Total","2-year",19.2412028210705,1.14866422816532
1986,"Female","4-year",34.6008182558549,1.91878643355534
1986,"Male","4-year",34.482670596812,2.00304885904292
1986,"Total","4-year",34.544329338839,1.38561982339
1986,"Female","Total",51.9221721473851,2.01532987408644
1986,"Male","Total",55.8194255390874,2.09276933701631
1986,"Total","Total",53.7855321599095,1.45279313817458
1987,"Female","2-year",20.3116187047206,1.67249582831952
1987,"Male","2-year",17.3034328494834,1.62731642903937
1987,"Total","2-year",18.8589940968123,1.16940771363739
1987,"Female","4-year",35.0017972944144,1.98285574366782
1987,"Male","4-year",41.0348229591026,2.1161001482301
1987,"Total","4-year",37.9150885478158,1.45039257752133
1987,"Female","Total",55.313415999135,2.06680303929064
1987,"Male","Total",58.338255808586,2.1208383914584
1987,"Total","Total",56.7740663136968,1.48092741223495
1988,"Female","2-year",22.4135421029409,1.91100089937058
1988,"Male","2-year",21.2908788938751,1.88002939539393
1988,"Total","2-year",21.8534288617248,1.34055070654187
1988,"Female","4-year",38.3196450528456,2.22790594384924
1988,"Male","4-year",35.8061432218736,2.20181497038697
1988,"Total","4-year",37.0656218997042,1.56674423789681
1988,"Female","Total",60.7331871557866,2.23788901118159
1988,"Male","Total",57.0970221157487,2.27303310735317
1988,"Total","Total",58.9190507614289,1.59594012456646
1989,"Female","2-year",23.1067806842338,1.90186587766344
1989,"Male","2-year",18.2892748617638,1.77380873990668
1989,"Total","2-year",20.738528298252,1.30434331026911
1989,"Female","4-year",38.46543507999,2.19513399290811
1989,"Male","4-year",39.2715407734586,2.24080526534914
1989,"Total","4-year",38.861711037355,1.56815678535783
1989,"Female","Total",61.5720552062528,2.19473226113743
1989,"Male","Total",57.5608156352224,2.26785873398037
