"year","measure","category","level","cost_value","institution"
"1963","raw","total","total",1247.92254877584,"all_institutions"
"1963","raw","total","4yr",1286.11412632462,"all_institutions"
"1963","raw","total","2yr",775.433503174302,"all_institutions"
"1963","raw","tuition","total",508.247693386489,"all_institutions"
"1963","raw","tuition","4yr",552.578415165872,"all_institutions"
"1963","raw","tuition","2yr",171.248587045261,"all_institutions"
"1963","raw","dorm","total",282.340688900645,"all_institutions"
"1963","raw","dorm","4yr",278.597812766883,"all_institutions"
"1963","raw","dorm","2yr",209.139956241239,"all_institutions"
"1963","raw","board","total",457.334166488704,"all_institutions"
"1963","raw","board","4yr",454.937898391862,"all_institutions"
"1963","raw","board","2yr",395.044959887802,"all_institutions"
"1963","inf","total","total",12125.791745992,"all_institutions"
"1963","inf","total","4yr",12496.8909911028,"all_institutions"
"1963","inf","total","2yr",7534.71854609917,"all_institutions"
"1963","inf","tuition","total",4938.53219611341,"all_institutions"
"1963","inf","tuition","4yr",5369.28416928164,"all_institutions"
"1963","inf","tuition","2yr",1663.98524118601,"all_institutions"
"1963","inf","dorm","total",2743.44301125704,"all_institutions"
"1963","inf","dorm","4yr",2707.0742986526,"all_institutions"
"1963","inf","dorm","2yr",2032.167427085,"all_institutions"
"1963","inf","board","total",4443.8165386216,"all_institutions"
"1963","inf","board","4yr",4420.53252316857,"all_institutions"
"1963","inf","board","2yr",3838.56587782816,"all_institutions"
"1968","raw","total","total",1458.60997295715,"all_institutions"
"1968","raw","total","4yr",1545.25200904952,"all_institutions"
"1968","raw","total","2yr",1052.94348038254,"all_institutions"
"1968","raw","tuition","total",596.331940021769,"all_institutions"
"1968","raw","tuition","4yr",683.288820006278,"all_institutions"
"1968","raw","tuition","2yr",250.398011748656,"all_institutions"
"1968","raw","dorm","total",360.264036264399,"all_institutions"
"1968","raw","dorm","4yr",360.117907250181,"all_institutions"
"1968","raw","dorm","2yr",326.882308964391,"all_institutions"
"1968","raw","board","total",502.013996670978,"all_institutions"
"1968","raw","board","4yr",501.845281793064,"all_institutions"
"1968","raw","board","2yr",475.663159669493,"all_institutions"
"1968","inf","total","total",12255.6853602956,"all_institutions"
"1968","inf","total","4yr",12983.6781431577,"all_institutions"
"1968","inf","total","2yr",8847.15190283572,"all_institutions"
"1968","inf","tuition","total",5010.56263339849,"all_institutions"
"1968","inf","tuition","4yr",5741.20083055994,"all_institutions"
"1968","inf","tuition","2yr",2103.92037880663,"all_institutions"
"1968","inf","dorm","total",3027.04818762151,"all_institutions"
"1968","inf","dorm","4yr",3025.82036712565,"all_institutions"
"1968","inf","dorm","2yr",2746.56474505828,"all_institutions"
"1968","inf","board","total",4218.07453927558,"all_institutions"
"1968","inf","board","4yr",4216.65694547212,"all_institutions"
"1968","inf","board","2yr",3996.66677897082,"all_institutions"
"1969","raw","total","total",1560.03891285684,"all_institutions"
"1969","raw","total","4yr",1674.46840666229,"all_institutions"
"1969","raw","total","2yr",1089.37313298511,"all_institutions"
"1969","raw","tuition","total",645.140350045782,"all_institutions"
"1969","raw","tuition","4yr",755.008038514908,"all_institutions"
"1969","raw","tuition","2yr",247.442178076846,"all_institutions"
"1969","raw","dorm","total",389.228227967876,"all_institutions"
"1969","raw","dorm","4yr",391.873723682321,"all_institutions"
"1969","raw","dorm","2yr",346.912635835312,"all_institutions"
"1969","raw","board","total",525.670334843181,"all_institutions"
"1969","raw","board","4yr",527.586644465062,"all_institutions"
"1969","raw","board","2yr",495.018319072955,"all_institutions"
"1969","inf","total","total",12376.4463692787,"all_institutions"
"1969","inf","total","4yr",13284.2637842644,"all_institutions"
"1969","inf","total","2yr",8642.4563165756,"all_institutions"
"1969","inf","tuition","total",5118.17037203098,"all_institutions"
"1969","inf","tuition","4yr",5989.79706214005,"all_institutions"
"1969","inf","tuition","2yr",1963.0631141485,"all_institutions"
"1969","inf","dorm","total",3087.91162140445,"all_institutions"
"1969","inf","dorm","4yr",3108.8994541823,"all_institutions"
"1969","inf","dorm","2yr",2752.20418981616,"all_institutions"
"1969","inf","board","total",4170.36437584325,"all_institutions"
"1969","inf","board","4yr",4185.56726794208,"all_institutions"
"1969","inf","board","2yr",3927.18901261095,"all_institutions"
"1970","raw","total","total",1652.68273024831,"all_institutions"
"1970","raw","total","4yr",1784.32338379949,"all_institutions"
"1970","raw","total","2yr",1120.37193875548,"all_institutions"
"1970","raw","tuition","total",688.022347504627,"all_institutions"
"1970","raw","tuition","4yr",813.787615014909,"all_institutions"
"1970","raw","tuition","2yr",249.443912340556,"all_institutions"
"1970","raw","dorm","total",418.821253154018,"all_institutions"
"1970","raw","dorm","4yr",421.916744670247,"all_institutions"
"1970","raw","dorm","2yr",369.437653201271,"all_institutions"
"1970","raw","board","total",545.839129589665,"all_institutions"
"1970","raw","board","4yr",548.619024114337,"all_institutions"
"1970","raw","board","2yr",501.490373213652,"all_institutions"
"1970","inf","total","total",12467.8218757574,"all_institutions"
"1970","inf","total","4yr",13460.9176406281,"all_institutions"
"1970","inf","total","2yr",8452.07462469316,"all_institutions"
"1970","inf","tuition","total",5190.43366172244,"all_institutions"
"1970","inf","tuition","4yr",6139.20557346112,"all_institutions"
"1970","inf","tuition","2yr",1881.80236299004,"all_institutions"
"1970","inf","dorm","total",3159.58331658809,"all_institutions"
"1970","inf","dorm","4yr",3182.93567341732,"all_institutions"
"1970","inf","dorm","2yr",2787.03393579919,"all_institutions"
"1970","inf","board","total",4117.80489744691,"all_institutions"
"1970","inf","board","4yr",4138.77639374966,"all_institutions"
"1970","inf","board","2yr",3783.23832590392,"all_institutions"
"1971","raw","total","total",1730.48927488218,"all_institutions"
"1971","raw","total","4yr",1877.585632767,"all_institutions"
"1971","raw","total","2yr",1171.72550460506,"all_institutions"
"1971","raw","tuition","total",723.809896703214,"all_institutions"
"1971","raw","tuition","4yr",865.335956319599,"all_institutions"
"1971","raw","tuition","2yr",250.819498001247,"all_institutions"
"1971","raw","dorm","total",444.914722458834,"all_institutions"
"1971","raw","dorm","4yr",448.422305631726,"all_institutions"
"1971","raw","dorm","2yr",390.903748482076,"all_institutions"
"1971","raw","board","total",561.764655720133,"all_institutions"
"1971","raw","board","4yr",563.827370815676,"all_institutions"
"1971","raw","board","2yr",530.002258121733,"all_institutions"
"1971","inf","total","total",12602.7139330028,"all_institutions"
"1971","inf","total","4yr",13673.9793525098,"all_institutions"
"1971","inf","total","2yr",8533.37929155689,"all_institutions"
"1971","inf","tuition","total",5271.3236669138,"all_institutions"
"1971","inf","tuition","4yr",6302.02201870326,"all_institutions"
"1971","inf","tuition","2yr",1826.65470859061,"all_institutions"
"1971","inf","dorm","total",3240.20093803343,"all_institutions"
"1971","inf","dorm","4yr",3265.74577553448,"all_institutions"
"1971","inf","dorm","2yr",2846.85273059176,"all_institutions"
"1971","inf","board","total",4091.1893280556,"all_institutions"
"1971","inf","board","4yr",4106.21155827207,"all_institutions"
"1971","inf","board","2yr",3859.87185237452,"all_institutions"
"1972","raw","total","total",1834.38000175773,"all_institutions"
"1972","raw","total","4yr",2030.73731680052,"all_institutions"
"1972","raw","total","2yr",1275.9501354528,"all_institutions"
"1972","raw","tuition","total",759.453412408505,"all_institutions"
"1972","raw","tuition","4yr",950.341046548914,"all_institutions"
"1972","raw","tuition","2yr",286.849358551576,"all_institutions"
"1972","raw","dorm","total",487.780351486639,"all_institutions"
"1972","raw","dorm","4yr",492.429547173835,"all_institutions"
"1972","raw","dorm","2yr",414.828929967863,"all_institutions"
"1972","raw","board","total",587.146237862581,"all_institutions"
"1972","raw","board","4yr",587.966723077773,"all_institutions"
"1972","raw","board","2yr",574.271846933356,"all_institutions"
"1972","inf","total","total",12841.802705706,"all_institutions"
"1972","inf","total","4yr",14216.4262281962,"all_institutions"
"1972","inf","total","2yr",8932.44577792106,"all_institutions"
"1972","inf","tuition","total",5316.64697444367,"all_institutions"
"1972","inf","tuition","4yr",6652.97932337967,"all_institutions"
"1972","inf","tuition","2yr",2008.12419741162,"all_institutions"
"1972","inf","dorm","total",3414.76631423648,"all_institutions"
"1972","inf","dorm","4yr",3447.3135801781,"all_institutions"
"1972","inf","dorm","2yr",2904.06091985405,"all_institutions"
"1972","inf","board","total",4110.38941702583,"all_institutions"
"1972","inf","board","4yr",4116.13332463841,"all_institutions"
"1972","inf","board","2yr",4020.26066065539,"all_institutions"
"1973","raw","total","total",1903.05005711684,"all_institutions"
"1973","raw","total","4yr",2097.22809080469,"all_institutions"
"1973","raw","total","2yr",1358.38840620798,"all_institutions"
"1973","raw","tuition","total",795.65268220704,"all_institutions"
"1973","raw","tuition","4yr",984.584411982015,"all_institutions"
"1973","raw","tuition","2yr",328.46640023556,"all_institutions"
"1973","raw","dorm","total",495.413729371555,"all_institutions"
"1973","raw","dorm","4yr",499.864009858634,"all_institutions"
"1973","raw","dorm","2yr",429.693723756624,"all_institutions"
"1973","raw","board","total",611.983645538249,"all_institutions"
"1973","raw","board","4yr",612.779668964038,"all_institutions"
"1973","raw","board","2yr",600.228282215792,"all_institutions"
"1973","inf","total","total",12231.9690373632,"all_institutions"
"1973","inf","total","4yr",13480.060062044,"all_institutions"
"1973","inf","total","2yr",8731.12342122118,"all_institutions"
"1973","inf","tuition","total",5114.10561002074,"all_institutions"
"1973","inf","tuition","4yr",6328.4756998355,"all_institutions"
"1973","inf","tuition","2yr",2111.23760117091,"all_institutions"
"1973","inf","dorm","total",3184.30162974187,"all_institutions"
"1973","inf","dorm","4yr",3212.90607602112,"all_institutions"
"1973","inf","dorm","2yr",2761.8823293084,"all_institutions"
"1973","inf","board","total",3933.56179760065,"all_institutions"
"1973","inf","board","4yr",3938.6782861874,"all_institutions"
"1973","inf","board","2yr",3858.00349074187,"all_institutions"
"1974","raw","total","total",1983.08915650476,"all_institutions"
"1974","raw","total","4yr",2186.59906822433,"all_institutions"
"1974","raw","total","2yr",1431.50039281267,"all_institutions"
"1974","raw","tuition","total",809.364872625458,"all_institutions"
"1974","raw","tuition","4yr",1008.08194270351,"all_institutions"
"1974","raw","tuition","2yr",327.613386416651,"all_institutions"
"1974","raw","dorm","total",528.027839297148,"all_institutions"
"1974","raw","dorm","4yr",532.682868626155,"all_institutions"
"1974","raw","dorm","2yr",460.198647502729,"all_institutions"
"1974","raw","board","total",645.696444582152,"all_institutions"
"1974","raw","board","4yr",645.834256894662,"all_institutions"
"1974","raw","board","2yr",643.688358893286,"all_institutions"
"1974","inf","total","total",11474.8590288102,"all_institutions"
"1974","inf","total","4yr",12652.439744376,"all_institutions"
"1974","inf","total","2yr",8283.17030191596,"all_institutions"
"1974","inf","tuition","total",4683.27295612731,"all_institutions"
"1974","inf","tuition","4yr",5833.12058566246,"all_institutions"
"1974","inf","tuition","2yr",1895.68755028043,"all_institutions"
"1974","inf","dorm","total",3055.3568402851,"all_institutions"
"1974","inf","dorm","4yr",3082.29249527072,"all_institutions"
"1974","inf","dorm","2yr",2662.87301709133,"all_institutions"
"1974","inf","board","total",3736.22923239779,"all_institutions"
"1974","inf","board","4yr",3737.02666344283,"all_institutions"
"1974","inf","board","2yr",3724.60973454419,"all_institutions"
"1975","raw","total","total",2103.2941988667,"all_institutions"
"1975","raw","total","4yr",2354.79888651482,"all_institutions"
"1975","raw","total","2yr",1473.40085297695,"all_institutions"
"1975","raw","tuition","total",829.060630055476,"all_institutions"
"1975","raw","tuition","4yr",1073.14284036841,"all_institutions"
"1975","raw","tuition","2yr",297.208219956064,"all_institutions"
"1975","raw","dorm","total",568.898334959157,"all_institutions"
"1975","raw","dorm","4yr",576.083399492825,"all_institutions"
"1975","raw","dorm","2yr",473.99330274626,"all_institutions"
"1975","raw","board","total",705.33523385207,"all_institutions"
"1975","raw","board","4yr",705.572646653582,"all_institutions"
"1975","raw","board","2yr",702.199330274626,"all_institutions"
"1975","inf","total","total",11365.753063634,"all_institutions"
"1975","inf","total","4yr",12724.8307312732,"all_institutions"
"1975","inf","total","2yr",7961.94382493279,"all_institutions"
"1975","inf","tuition","total",4480.06674533148,"all_institutions"
"1975","inf","tuition","4yr",5799.03492921063,"all_institutions"
"1975","inf","tuition","2yr",1606.04980431314,"all_institutions"
"1975","inf","dorm","total",3074.20521434533,"all_institutions"
"1975","inf","dorm","4yr",3113.0317699836,"all_institutions"
"1975","inf","dorm","2yr",2561.35867047657,"all_institutions"
"1975","inf","board","total",3811.48110395716,"all_institutions"
"1975","inf","board","4yr",3812.76403207896,"all_institutions"
"1975","inf","board","2yr",3794.53535014307,"all_institutions"
"1976","raw","total","total",2275.20922796348,"all_institutions"
"1976","raw","total","4yr",2576.83983259443,"all_institutions"
"1976","raw","total","2yr",1597.84991575597,"all_institutions"
"1976","raw","tuition","total",924.047973962897,"all_institutions"
"1976","raw","tuition","4yr",1218.39594298047,"all_institutions"
"1976","raw","tuition","2yr",345.559063734846,"all_institutions"
"1976","raw","dorm","total",603.374215540104,"all_institutions"
"1976","raw","dorm","4yr",610.78506346834,"all_institutions"
"1976","raw","dorm","2yr",502.707471755894,"all_institutions"
"1976","raw","board","total",747.78703846048,"all_institutions"
"1976","raw","board","4yr",747.658826145626,"all_institutions"
"1976","raw","board","2yr",749.583380265229,"all_institutions"
"1976","inf","total","total",11617.4257131717,"all_institutions"
"1976","inf","total","4yr",13157.5790753553,"all_institutions"
"1976","inf","total","2yr",8158.7673208007,"all_institutions"
"1976","inf","tuition","total",4718.27318603556,"all_institutions"
"1976","inf","tuition","4yr",6221.24074693343,"all_institutions"
"1976","inf","tuition","2yr",1764.4560786377,"all_institutions"
"1976","inf","dorm","total",3080.88374472474,"all_institutions"
"1976","inf","dorm","4yr",3118.72420977725,"all_institutions"
"1976","inf","dorm","2yr",2566.87017475221,"all_institutions"
"1976","inf","board","total",3818.2687824114,"all_institutions"
"1976","inf","board","4yr",3817.61411864464,"all_institutions"
"1976","inf","board","2yr",3827.4410674108,"all_institutions"
"1977","raw","total","total",2410.75130077277,"all_institutions"
"1977","raw","total","4yr",2724.99742366971,"all_institutions"
"1977","raw","total","2yr",1703.45137416614,"all_institutions"
"1977","raw","tuition","total",984.468426843127,"all_institutions"
"1977","raw","tuition","4yr",1291.48008919355,"all_institutions"
"1977","raw","tuition","2yr",378.183621526614,"all_institutions"
"1977","raw","dorm","total",645.27648222702,"all_institutions"
"1977","raw","dorm","4yr",653.827075937965,"all_institutions"
"1977","raw","dorm","2yr",524.750509968843,"all_institutions"
"1977","raw","board","total",781.00639170262,"all_institutions"
"1977","raw","board","4yr",779.690258538197,"all_institutions"
"1977","raw","board","2yr",800.517242670681,"all_institutions"
"1977","inf","total","total",11534.8483806081,"all_institutions"
"1977","inf","total","4yr",13038.4383115347,"all_institutions"
"1977","inf","total","2yr",8150.59326876497,"all_institutions"
"1977","inf","tuition","total",4710.43779401516,"all_institutions"
"1977","inf","tuition","4yr",6179.41262155354,"all_institutions"
"1977","inf","tuition","2yr",1809.51503912512,"all_institutions"
"1977","inf","dorm","total",3087.48827955622,"all_institutions"
"1977","inf","dorm","4yr",3128.40075443005,"all_institutions"
"1977","inf","dorm","2yr",2510.80132911143,"all_institutions"
"1977","inf","board","total",3736.92230703671,"all_institutions"
"1977","inf","board","4yr",3730.62493555114,"all_institutions"
"1977","inf","board","2yr",3830.27690052841,"all_institutions"
"1978","raw","total","total",2586.63952877604,"all_institutions"
"1978","raw","total","4yr",2917.26287159751,"all_institutions"
"1978","raw","total","2yr",1828.04358245206,"all_institutions"
"1978","raw","tuition","total",1072.65182272249,"all_institutions"
"1978","raw","tuition","4yr",1396.73851524191,"all_institutions"
"1978","raw","tuition","2yr",410.890811419884,"all_institutions"
"1978","raw","dorm","total",687.939686108835,"all_institutions"
"1978","raw","dorm","4yr",695.50006117613,"all_institutions"
"1978","raw","dorm","2yr",575.010890808456,"all_institutions"
"1978","raw","board","total",826.048019944718,"all_institutions"
"1978","raw","board","4yr",825.024295179468,"all_institutions"
"1978","raw","board","2yr",842.141880223716,"all_institutions"
"1978","inf","total","total",11316.4535354927,"all_institutions"
"1978","inf","total","4yr",12762.9185937913,"all_institutions"
"1978","inf","total","2yr",7997.62395630868,"all_institutions"
"1978","inf","tuition","total",4692.81257653414,"all_institutions"
"1978","inf","tuition","4yr",6110.68002832516,"all_institutions"
"1978","inf","tuition","2yr",1797.63230394698,"all_institutions"
"1978","inf","dorm","total",3009.71101943834,"all_institutions"
"1978","inf","dorm","4yr",3042.78738443166,"all_institutions"
"1978","inf","dorm","2yr",2515.65166148806,"all_institutions"
"1978","inf","board","total",3613.92993952019,"all_institutions"
"1978","inf","board","4yr",3609.45118103444,"all_institutions"
"1978","inf","board","2yr",3684.33999087364,"all_institutions"
"1979","raw","total","total",2808.91832770165,"all_institutions"
"1979","raw","total","4yr",3167.05359083892,"all_institutions"
"1979","raw","total","2yr",1979.42491487303,"all_institutions"
"1979","raw","tuition","total",1162.82037226533,"all_institutions"
"1979","raw","tuition","4yr",1512.9424159103,"all_institutions"
"1979","raw","tuition","2yr",450.970072896576,"all_institutions"
"1979","raw","dorm","total",750.905690823371,"all_institutions"
"1979","raw","dorm","4yr",759.259178643044,"all_institutions"
"1979","raw","dorm","2yr",627.97879673818,"all_institutions"
"1979","raw","board","total",895.192264612949,"all_institutions"
"1979","raw","board","4yr",894.85199628557,"all_institutions"
"1979","raw","board","2yr",900.476045238272,"all_institutions"
"1979","inf","total","total",10843.1604427299,"all_institutions"
"1979","inf","total","4yr",12225.6563594319,"all_institutions"
"1979","inf","total","2yr",7641.09861245672,"all_institutions"
"1979","inf","tuition","total",4488.79119702448,"all_institutions"
"1979","inf","tuition","4yr",5840.3539877039,"all_institutions"
"1979","inf","tuition","2yr",1740.86259720065,"all_institutions"
"1979","inf","dorm","total",2898.69264003094,"all_institutions"
"1979","inf","dorm","4yr",2930.93929091851,"all_institutions"
"1979","inf","dorm","2yr",2424.16263246649,"all_institutions"
"1979","inf","board","total",3455.67660567452,"all_institutions"
"1979","inf","board","4yr",3454.36308080946,"all_institutions"
"1979","inf","board","2yr",3476.07338278959,"all_institutions"
"1980","raw","total","total",3101.25702428076,"all_institutions"
