"State or jurisdiction","Percent change, 2017 to 2022","Year","Enrollment"
"Alabama",-4.17447533871982,"1970",103936
"Alabama",-4.17447533871982,"1980",164306
"Alabama",-4.17447533871982,"1990",218589
"Alabama",-4.17447533871982,"2000",233962
"Alabama",-4.17447533871982,"2010",327606
"Alabama",-4.17447533871982,"2012",310311
"Alabama",-4.17447533871982,"2017",306817
"Alabama",-4.17447533871982,"2018",304182
"Alabama",-4.17447533871982,"2019",303023
"Alabama",-4.17447533871982,"2020",292241
"Alabama",-4.17447533871982,"2021",292752
"Alabama",-4.17447533871982,"2022",294009
"Alaska",-25.0994238989035,"1970",9471
"Alaska",-25.0994238989035,"1980",21296
"Alaska",-25.0994238989035,"1990",29833
"Alaska",-25.0994238989035,"2000",27953
"Alaska",-25.0994238989035,"2010",34799
"Alaska",-25.0994238989035,"2012",32797
"Alaska",-25.0994238989035,"2017",26905
"Alaska",-25.0994238989035,"2018",25692
"Alaska",-25.0994238989035,"2019",23353
"Alaska",-25.0994238989035,"2020",22106
"Alaska",-25.0994238989035,"2021",20929
"Alaska",-25.0994238989035,"2022",20152
"Arizona",5.6835983096552,"1970",109619
"Arizona",5.6835983096552,"1980",202716
"Arizona",5.6835983096552,"1990",264148
"Arizona",5.6835983096552,"2000",342490
"Arizona",5.6835983096552,"2010",793871
"Arizona",5.6835983096552,"2012",736465
"Arizona",5.6835983096552,"2017",591122
"Arizona",5.6835983096552,"2018",581985
"Arizona",5.6835983096552,"2019",609144
"Arizona",5.6835983096552,"2020",599798
"Arizona",5.6835983096552,"2021",613533
"Arizona",5.6835983096552,"2022",624719
"Arkansas",-5.60004391234608,"1970",52039
"Arkansas",-5.60004391234608,"1980",77347
"Arkansas",-5.60004391234608,"1990",90425
"Arkansas",-5.60004391234608,"2000",115172
"Arkansas",-5.60004391234608,"2010",175848
"Arkansas",-5.60004391234608,"2012",176458
"Arkansas",-5.60004391234608,"2017",163963
"Arkansas",-5.60004391234608,"2018",160644
"Arkansas",-5.60004391234608,"2019",158567
"Arkansas",-5.60004391234608,"2020",149296
"Arkansas",-5.60004391234608,"2021",148161
"Arkansas",-5.60004391234608,"2022",154781
"California",-8.72316793946366,"1970",1257245
"California",-8.72316793946366,"1980",1791088
"California",-8.72316793946366,"1990",1808740
"California",-8.72316793946366,"2000",2256708
"California",-8.72316793946366,"2010",2714699
"California",-8.72316793946366,"2012",2621606
"California",-8.72316793946366,"2017",2724446
"California",-8.72316793946366,"2018",2723547
"California",-8.72316793946366,"2019",2714753
"California",-8.72316793946366,"2020",2596230
"California",-8.72316793946366,"2021",2483180
"California",-8.72316793946366,"2022",2486788
"Colorado",-3.75309519315116,"1970",123395
"Colorado",-3.75309519315116,"1980",162916
"Colorado",-3.75309519315116,"1990",227131
"Colorado",-3.75309519315116,"2000",263872
"Colorado",-3.75309519315116,"2010",369450
"Colorado",-3.75309519315116,"2012",363170
"Colorado",-3.75309519315116,"2017",360236
"Colorado",-3.75309519315116,"2018",360537
"Colorado",-3.75309519315116,"2019",368124
"Colorado",-3.75309519315116,"2020",362276
"Colorado",-3.75309519315116,"2021",346146
"Colorado",-3.75309519315116,"2022",346716
"Connecticut",-4.94598398250428,"1970",124700
"Connecticut",-4.94598398250428,"1980",159632
"Connecticut",-4.94598398250428,"1990",168604
"Connecticut",-4.94598398250428,"2000",161243
"Connecticut",-4.94598398250428,"2010",199384
"Connecticut",-4.94598398250428,"2012",201658
"Connecticut",-4.94598398250428,"2017",197534
"Connecticut",-4.94598398250428,"2018",197236
"Connecticut",-4.94598398250428,"2019",193686
"Connecticut",-4.94598398250428,"2020",186717
"Connecticut",-4.94598398250428,"2021",184582
"Connecticut",-4.94598398250428,"2022",187764
"Delaware",-5.49570751433591,"1970",25260
"Delaware",-5.49570751433591,"1980",32939
"Delaware",-5.49570751433591,"1990",42004
"Delaware",-5.49570751433591,"2000",43897
"Delaware",-5.49570751433591,"2010",55258
"Delaware",-5.49570751433591,"2012",58127
"Delaware",-5.49570751433591,"2017",60338
"Delaware",-5.49570751433591,"2018",60010
"Delaware",-5.49570751433591,"2019",59983
"Delaware",-5.49570751433591,"2020",58678
"Delaware",-5.49570751433591,"2021",56251
"Delaware",-5.49570751433591,"2022",57022
"District of Columbia",3.46878613318889,"1970",77158
"District of Columbia",3.46878613318889,"1980",86675
"District of Columbia",3.46878613318889,"1990",79551
"District of Columbia",3.46878613318889,"2000",72689
"District of Columbia",3.46878613318889,"2010",91992
"District of Columbia",3.46878613318889,"2012",90150
"District of Columbia",3.46878613318889,"2017",95999
"District of Columbia",3.46878613318889,"2018",97776
"District of Columbia",3.46878613318889,"2019",98909
"District of Columbia",3.46878613318889,"2020",97481
"District of Columbia",3.46878613318889,"2021",99435
"District of Columbia",3.46878613318889,"2022",99329
"Florida",-6.90509420145378,"1970",235525
"Florida",-6.90509420145378,"1980",411891
"Florida",-6.90509420145378,"1990",588086
"Florida",-6.90509420145378,"2000",707684
"Florida",-6.90509420145378,"2010",1124778
"Florida",-6.90509420145378,"2012",1154506
"Florida",-6.90509420145378,"2017",1073338
"Florida",-6.90509420145378,"2018",1067147
"Florida",-6.90509420145378,"2019",1055664
"Florida",-6.90509420145378,"2020",1027124
"Florida",-6.90509420145378,"2021",1004538
"Florida",-6.90509420145378,"2022",999223
"Georgia",0.644832789468598,"1970",126511
"Georgia",0.644832789468598,"1980",184159
"Georgia",0.644832789468598,"1990",251786
"Georgia",0.644832789468598,"2000",346204
