Year_Raw,Section,Year,Race_Ethnicity,Enrollment_Rate
1960,Keep,1960,Total,45.1459201905896
1960,Keep,1960,White,45.814696485623
1961,Keep,1961,Total,48.0431083380601
1961,Keep,1961,White,49.5037220843672
1962,Keep,1962,Total,48.9662676822633
1962,Keep,1962,White,50.6024096385542
1963,Keep,1963,Total,45.0315910396324
1963,Keep,1963,White,45.5727554179567
1964,Keep,1964,Total,48.3449883449883
1964,Keep,1964,White,49.2362525458248
1965,Keep,1965,Total,50.9213990221888
1965,Keep,1965,White,51.6756309474555
1966,Keep,1966,Total,50.114854517611
1966,Keep,1966,White,51.7270079067832
1967,Keep,1967,Total,51.9207920792079
1967,Keep,1967,White,53.0216144684605
1968,Keep,1968,Total,55.4105909439754
1968,Keep,1968,White,56.6217976552323
1969,Keep,1969,Total,53.3427163969036
1969,Keep,1969,White,55.2403467297084
1970,Keep,1970,Total,51.7481563999466
1970,Keep,1970,White,52.0113774888257
1971,Keep,1971,Total,53.5144323969143
1971,Keep,1971,White,54.006163328197196
1972,Keep,1972,Total,49.2231164068733
1972,Keep,1972,Black,44.5588263216856
1972,Keep,1972,Hispanic,45.00024714546982
1972,Keep,1972,White,49.6985481182125
1973,Keep,1973,Total,46.5705732255824
1973,Keep,1973,Black,32.46678719741332
1973,Keep,1973,Hispanic,54.11799434909123
1973,Keep,1973,White,47.8121116015943
1974,Keep,1974,Total,47.5653872805605
1974,Keep,1974,Black,47.2362565766829
1974,Keep,1974,Hispanic,46.86106261325743
1974,Keep,1974,White,47.1779793656736
1975,Keep,1975,Total,50.7101051946058
1975,Keep,1975,Black,41.71486111387139
1975,Keep,1975,Hispanic,58.0210008228216
1975,Keep,1975,White,51.1386161707635
1976,Keep,1976,Total,48.8257494574973
1976,Keep,1976,Black,44.389944819129376
1976,Keep,1976,Hispanic,52.67475903812625
1976,Keep,1976,White,48.8206141834461
1977,Keep,1977,Total,50.6048568101229
1977,Keep,1977,Black,49.47263687722172
1977,Keep,1977,Hispanic,50.80986006236632
1977,Keep,1977,White,50.8283156976089
1978,Keep,1978,Total,50.124136483099
1978,Keep,1978,Black,46.40955633379853
1978,Keep,1978,Hispanic,41.98917616973193
1978,Keep,1978,White,50.5107072051145
1979,Keep,1979,Total,49.3396411817817
1979,Keep,1979,Black,46.6749309565654
1979,Keep,1979,Hispanic,44.95094913267245
1979,Keep,1979,White,49.9345556957466
1980,Keep,1980,Total,49.3189250739855
1980,Keep,1980,Black,42.72401618284093
