Year,Sex,Control,race,rate
2000,Total,All,Total,30.5010672138582
2000,Total,All,Black,26.1103123920336
2000,Total,All,Hispanic,30.1164311064068
2000,Total,All,White,31.5385182636055
2005,Total,All,Total,27.6055417232345
2005,Total,All,Black,22.776548407455
2005,Total,All,Hispanic,25.6970610399397
2005,Total,All,White,28.6843146739369
2008,Total,All,Total,31.2307049412407
2008,Total,All,Asian,35.21370166885914
2008,Total,All,Black,27.6443171817089
2008,Total,All,Hispanic,35.1326100634927
2008,Total,All,White,30.0770798894609
2009,Total,All,Total,30.9367601514358
2009,Total,All,Asian,36.0146933560477
2009,Total,All,Black,26.391095194526
2009,Total,All,Hispanic,36.3483007532281
2009,Total,All,White,30.1337152850836
2010,Total,All,Total,29.4195040515353
2010,Total,All,Asian,35.14753913729024
2010,Total,All,Black,23.6796557324577
2010,Total,All,Hispanic,33.8001556701147
2010,Total,All,White,29.3979052696534
2011,Total,All,Total,27.86468299528
2011,Total,All,Asian,33.73655504433408
2011,Total,All,Black,20.1548518118931
2011,Total,All,Hispanic,29.89625225506
2011,Total,All,White,29.0443796414372
2012,Total,All,Total,29.0285583905064
2012,Total,All,Asian,35.7686594875603
2012,Total,All,Black,22.0682609768807
2012,Total,All,Hispanic,29.8429482583404
2012,Total,All,White,30.4942102929795
2013,Total,All,Total,30.3007879480689
2013,Total,All,Asian,36.1924620099201
2013,Total,All,Black,22.9665071770335
2013,Total,All,Hispanic,30.0571336506048
2013,Total,All,White,32.1710473218369
2014,Total,All,Total,31.5884315364822
2014,Total,All,Asian,37.493277656512
2014,Total,All,Black,25.2752728998576
2014,Total,All,Hispanic,30.949890057571
2014,Total,All,White,33.5012249981087
2015,Total,All,Total,32.3106075243194
2015,Total,All,Asian,38.2726234293692
2015,Total,All,Black,27.6388579649579
2015,Total,All,Hispanic,30.2945418952683
2015,Total,All,White,34.6365793813604
2016,Total,All,Total,32.5573179567323
2016,Total,All,Asian,40.07627367254474
2016,Total,All,Black,25.1027419702118
2016,Total,All,Hispanic,31.3062663251591
2016,Total,All,White,35.3662113193775
2017,Total,All,Total,33.6030583869683
2017,Total,All,Asian,41.9073960254046
2017,Total,All,Black,25.0553355079217
2017,Total,All,Hispanic,32.225524917784
2017,Total,All,White,36.5160733962535
2018,Total,All,Total,34.54634691427
2018,Total,All,Asian,43.6647236966362
2018,Total,All,Black,26.5560411590028
2018,Total,All,Hispanic,32.1917058093407
2018,Total,All,White,37.6070368800339
2019,Total,All,Total,34.0718584872735
2019,Total,All,Asian,44.0921909948459
2019,Total,All,Black,25.3153390655419
2019,Total,All,Hispanic,31.2906435861239
2019,Total,All,White,37.8725238123064
2000,Total,Public,Total,23.5529626860788
2000,Total,Public,Black,17.79280683164
2000,Total,Public,Hispanic,16.7996045565866
2000,Total,Public,White,25.6745925728026
2005,Total,Public,Total,20.6230967294694
2005,Total,Public,Black,12.0570933467098
2005,Total,Public,Hispanic,15.5553998341567
2005,Total,Public,White,23.0410222407262
2008,Total,Public,Total,20.1759766646609
2008,Total,Public,Asian,27.20480235008621
2008,Total,Public,Black,11.8360831304242
2008,Total,Public,Hispanic,15.7537370154548
2008,Total,Public,White,22.7951295093832
2009,Total,Public,Total,19.7728707944423
2009,Total,Public,Asian,27.31881399459694
2009,Total,Public,Black,11.3042415992601
2009,Total,Public,Hispanic,15.87744755887
2009,Total,Public,White,22.5220948840444
2010,Total,Public,Total,19.5301233533918
2010,Total,Public,Asian,27.55921589980942
2010,Total,Public,Black,10.7828416400771
2010,Total,Public,Hispanic,16.2379750289964
2010,Total,Public,White,22.4614376749449
2011,Total,Public,Total,19.9522596110266
2011,Total,Public,Asian,28.09741686781713
2011,Total,Public,Black,9.75548229399535
2011,Total,Public,Hispanic,17.4647629811848
2011,Total,Public,White,23.4133397726306
2012,Total,Public,Total,21.949711705994
2012,Total,Public,Asian,30.72293447293447
2012,Total,Public,Black,11.6503742171987
2012,Total,Public,Hispanic,19.0630100163205
2012,Total,Public,White,25.4561178212782
2013,Total,Public,Total,23.6296215167493
2013,Total,Public,Asian,31.64161974104229
2013,Total,Public,Black,13.2968274486254
2013,Total,Public,Hispanic,20.6906787273764
2013,Total,Public,White,27.4031333399229
2014,Total,Public,Total,25.113515562551
2014,Total,Public,Asian,33.13029849682981
2014,Total,Public,Black,14.5700270522074
2014,Total,Public,Hispanic,22.0989609486655
2014,Total,Public,White,28.9422500499567
2015,Total,Public,Total,26.9661112043379
2015,Total,Public,Asian,35.5104015481374
2015,Total,Public,Black,16.217661933476
2015,Total,Public,Hispanic,24.0024386526444
2015,Total,Public,White,30.8072000194934
2016,Total,Public,Total,28.2272046688845
2016,Total,Public,Asian,36.96820819537898
2016,Total,Public,Black,17.7035412096522
2016,Total,Public,Hispanic,24.8132972786721
2016,Total,Public,White,32.4039199714544
2017,Total,Public,Total,29.2854341882148
2017,Total,Public,Asian,39.0386695006899
2017,Total,Public,Black,18.2163821561147
2017,Total,Public,Hispanic,25.5962285080422
2017,Total,Public,White,33.6951393947171
2018,Total,Public,Total,30.2292917079952
2018,Total,Public,Asian,41.3696888355173
2018,Total,Public,Black,19.2496373466966
2018,Total,Public,Hispanic,26.2248231788317
2018,Total,Public,White,34.7162959244502
2019,Total,Public,Total,30.1835787628758
2019,Total,Public,Asian,42.0374249902354
2019,Total,Public,Black,18.9962318175065
2019,Total,Public,Hispanic,25.8645636893537
2019,Total,Public,White,35.0504066105956
2000,Total,Private Nonprofit,Total,50.0848464279654
2000,Total,Private Nonprofit,Black,37.5080282594733
2000,Total,Private Nonprofit,Hispanic,56.2628336755647
2000,Total,Private Nonprofit,White,49.6252755326965
2005,Total,Private Nonprofit,Total,48.2669258179462
2005,Total,Private Nonprofit,Black,41.5902140672783
2005,Total,Private Nonprofit,Hispanic,47.3200612557427
2005,Total,Private Nonprofit,White,52.3742170135381
2008,Total,Private Nonprofit,Total,56.6074057298154
2008,Total,Private Nonprofit,Asian,53.87149917627677
2008,Total,Private Nonprofit,Black,53.4428571428572
2008,Total,Private Nonprofit,Hispanic,62.4027237354086
2008,Total,Private Nonprofit,White,59.7144896502498
2009,Total,Private Nonprofit,Total,62.3346717052433
2009,Total,Private Nonprofit,Asian,57.72113943028486
2009,Total,Private Nonprofit,Black,59.682899207248
2009,Total,Private Nonprofit,Hispanic,68.2819383259912
2009,Total,Private Nonprofit,White,66.0015003750938
2010,Total,Private Nonprofit,Total,53.4477763291323
2010,Total,Private Nonprofit,Asian,52.23048327137546
2010,Total,Private Nonprofit,Black,50.8839190628328
2010,Total,Private Nonprofit,Hispanic,61.8773946360153
2010,Total,Private Nonprofit,White,55.9017269004807
2011,Total,Private Nonprofit,Total,51.2139545847411
2011,Total,Private Nonprofit,Asian,48.03312629399586
2011,Total,Private Nonprofit,Black,46.5247338760175
2011,Total,Private Nonprofit,Hispanic,57.5060532687651
2011,Total,Private Nonprofit,White,56.2859672421425
2012,Total,Private Nonprofit,Total,56.5071160518304
2012,Total,Private Nonprofit,Asian,60.1684717208183
2012,Total,Private Nonprofit,Black,47.2739541160594
2012,Total,Private Nonprofit,Hispanic,60.426882030574
2012,Total,Private Nonprofit,White,63.0735973273067
2013,Total,Private Nonprofit,Total,59.566091954023
2013,Total,Private Nonprofit,Asian,75.32467532467533
2013,Total,Private Nonprofit,Black,50.4008016032064
2013,Total,Private Nonprofit,Hispanic,64.1124586549063
2013,Total,Private Nonprofit,White,65.8104738154614
2014,Total,Private Nonprofit,Total,62.1950458601111
2014,Total,Private Nonprofit,Asian,81.75355450236967
2014,Total,Private Nonprofit,Black,57.3126900746475
2014,Total,Private Nonprofit,Hispanic,65.5714285714286
2014,Total,Private Nonprofit,White,67.2133977900553
2015,Total,Private Nonprofit,Total,62.3142970118059
2015,Total,Private Nonprofit,Asian,73.33333333333333
2015,Total,Private Nonprofit,Black,59.4874766595841
2015,Total,Private Nonprofit,Hispanic,63.0118534482759
2015,Total,Private Nonprofit,White,65.6655074296554
2016,Total,Private Nonprofit,Total,53.5575485799701
2016,Total,Private Nonprofit,Asian,84.27672955974843
2016,Total,Private Nonprofit,Black,41.5956439393939
2016,Total,Private Nonprofit,Hispanic,68.4905660377358
2016,Total,Private Nonprofit,White,57.6887913695374
2017,Total,Private Nonprofit,Total,51.8057187622405
2017,Total,Private Nonprofit,Asian,83.1223628691983
2017,Total,Private Nonprofit,Black,36.0928025309781
2017,Total,Private Nonprofit,Hispanic,60.9338521400778
2017,Total,Private Nonprofit,White,62.1886120996441
2018,Total,Private Nonprofit,Total,59.5648854961832
2018,Total,Private Nonprofit,Asian,84.4444444444445
2018,Total,Private Nonprofit,Black,52.9347349978099
2018,Total,Private Nonprofit,Hispanic,66.6666666666667
2018,Total,Private Nonprofit,White,63.7996407902614
2019,Total,Private Nonprofit,Total,56.2044914539741
2019,Total,Private Nonprofit,Asian,85.7142857142857
2019,Total,Private Nonprofit,Black,44.692618591789
2019,Total,Private Nonprofit,Hispanic,60.775473399459
2019,Total,Private Nonprofit,White,63.9060793593011
2000,Total,Private For-profit,Total,59.0768209954688
2000,Total,Private For-profit,Black,47.6123010250854
2000,Total,Private For-profit,Hispanic,60.3474924052657
2000,Total,Private For-profit,White,63.0904683343995
2005,Total,Private For-profit,Total,57.8367789554693
2005,Total,Private For-profit,Black,48.2238936308065
2005,Total,Private For-profit,Hispanic,61.491724282422
2005,Total,Private For-profit,White,62.8914671274582
2008,Total,Private For-profit,Total,61.7317707777032
2008,Total,Private For-profit,Asian,70.20748100526009
2008,Total,Private For-profit,Black,52.6413697195181
2008,Total,Private For-profit,Hispanic,67.9208620385091
2008,Total,Private For-profit,White,64.0984490550534
2009,Total,Private For-profit,Total,62.7374039859246
2009,Total,Private For-profit,Asian,71.61029199190517
2009,Total,Private For-profit,Black,52.943329788903
2009,Total,Private For-profit,Hispanic,68.4012604417492
2009,Total,Private For-profit,White,65.0894261578794
2010,Total,Private For-profit,Total,62.7619160822537
2010,Total,Private For-profit,Asian,73.3643189131212
2010,Total,Private For-profit,Black,53.2534136803641
2010,Total,Private For-profit,Hispanic,68.2639031397496
2010,Total,Private For-profit,White,65.7987400621716
2011,Total,Private For-profit,Total,58.4232106771935
2011,Total,Private For-profit,Asian,66.41188032321467
2011,Total,Private For-profit,Black,48.4266751282458
2011,Total,Private For-profit,Hispanic,62.2194485925067
2011,Total,Private For-profit,White,62.5084569346864
2012,Total,Private For-profit,Total,59.9967096759031
2012,Total,Private For-profit,Asian,71.42437591776799
2012,Total,Private For-profit,Black,48.9165924606708
2012,Total,Private For-profit,Hispanic,68.7222048230504
2012,Total,Private For-profit,White,63.0487973777757
2013,Total,Private For-profit,Total,59.8363639673092
2013,Total,Private For-profit,Asian,68.91432106402722
2013,Total,Private For-profit,Black,47.6360717933752
2013,Total,Private For-profit,Hispanic,66.2349894042854
