year,Institution Type,Length,Number enrolled,Number awarded financial aid,Percent awarded aid,Aid Type,Dollar type,Average award for students in aid programs
2000,All institutions,Overall,1976600.0,1390527.0,70.3494384296266,Federal grants,Raw dollar amount,2486.49788549876
2001,All institutions,Overall,2050016.0,1481592.0,72.2722164119695,Federal grants,Raw dollar amount,2739.03579023945
2002,All institutions,Overall,2135613.0,1553024.0,72.7202915509505,Federal grants,Raw dollar amount,2946.97587260029
2003,All institutions,Overall,2178517.0,1610967.0,73.9478737140908,Federal grants,Raw dollar amount,2933.55828802672
2004,All institutions,Overall,2260590.0,1689910.0,74.7552630065602,Federal grants,Raw dollar amount,2939.09966729859
2005,All institutions,Overall,2309543.0,1731315.0,74.9635317463238,Federal grants,Raw dollar amount,2959.24971795311
2006,All institutions,Overall,2426599.0,1766783.0,72.809022009817,Federal grants,Raw dollar amount,3130.97251626837
2007,All institutions,Overall,2528579.0,1911296.0,75.5877510649262,Federal grants,Raw dollar amount,3380.78684732505
2008,All institutions,Overall,2542748.0,1974063.0,77.6350232111086,Federal grants,Raw dollar amount,3926.89503990847
2009,All institutions,Overall,2855241.0,2323706.0,81.38388318184,Federal grants,Raw dollar amount,4693.47190920866
2010,All institutions,Overall,2648101.0,2179582.0,82.3073591226317,Federal grants,Raw dollar amount,4758.1694756828
2011,All institutions,Overall,2571120.0,2140556.0,83.253834904633,Federal grants,Raw dollar amount,4423.94752770197
2012,All institutions,Overall,2510994.0,2077909.0,82.752447835399,Federal grants,Raw dollar amount,4452.04558096726
2013,All institutions,Overall,2505306.0,2077487.0,82.9234831992579,Federal grants,Raw dollar amount,4532.53819043782
2014,All institutions,Overall,2471045.0,2062252.0,83.456675212309,Federal grants,Raw dollar amount,4599.3861572799
2015,All institutions,Overall,2458068.0,2031557.0,82.6485272173105,Federal grants,Raw dollar amount,4682.00584106565
2016,All institutions,Overall,2491341.0,2063481.0,82.8261165372384,Federal grants,Raw dollar amount,4700.30716292255
2017,All institutions,Overall,2464021.0,2057789.0,83.5134521986623,Federal grants,Raw dollar amount,4926.48394723862
